Date,Open,High,Low,Volume,Adj Close
"Dec 02, 2016",26437.37,26463.06,26182.93,988000,26230.66
"Dec 01, 2016",26756.66,26769.32,26540.82,1155000,26559.92
"Nov 30, 2016",26441.02,26680.55,26395.5,804000,26652.81
"Nov 29, 2016",26408.62,26587.07,26354.66,989000,26394.01
"Nov 28, 2016",26303.52,26413.99,26183.22,1120000,26350.17
"Nov 25, 2016",25953.24,26343.95,25874.45,1189000,26316.34
"Nov 24, 2016",26049.14,26049.14,25810.97,888000,25860.17
"Nov 23, 2016",26101.33,26130.49,25877.16,919000,26051.81
"Nov 22, 2016",25928.16,26039.7,25765.51,834000,25960.78
"Nov 21, 2016",26246.7,26270.28,25717.93,1024000,25765.14
"Nov 18, 2016",26270.2,26349.02,26106.78,989000,26150.24
"Nov 17, 2016",26304.9,26449.87,26155.4,1132000,26227.62
"Nov 16, 2016",26508.94,26621.4,26239.21,1460000,26298.69
"Nov 15, 2016",26809.61,26809.61,26253.63,1686000,26304.63
"Nov 11, 2016",27344.85,27344.85,26777.18,1761000,26818.82
"Nov 10, 2016",27605.05,27743.46,27252.53,1712000,27517.68
"Nov 09, 2016",26251.38,27397.38,25902.45,2180000,27252.53
"Nov 08, 2016",27537.26,27646.84,27406.76,1048000,27591.14
"Nov 07, 2016",27552.27,27591.15,27274.15,1161000,27458.99
"Nov 04, 2016",27465.55,27498.91,27193.61,2507000,27274.15
"Nov 03, 2016",27518.06,27600.74,27399.26,1110000,27430.28
"Nov 02, 2016",27679.32,27679.32,27500.81,1343000,27527.22
"Nov 01, 2016",27966.18,28029.8,27845.63,1040000,27876.61
"Oct 30, 2016",28066.32,28095.71,27890.14,011000,27930.21
"Oct 28, 2016",27983.14,28000.14,27789.84,1174000,27941.51
"Oct 27, 2016",27808.63,27958.13,27665.6,1396000,27915.9
"Oct 26, 2016",28050.55,28050.55,27759.56,1453000,27836.51
"Oct 25, 2016",28159.09,28211.41,28013.69,1126000,28091.42
"Oct 24, 2016",28156.59,28256.65,28075.95,1555000,28179.08
"Oct 21, 2016",28163.41,28163.41,27957.92,878000,28077.18
"Oct 20, 2016",28031.57,28212.5,28031.57,1161000,28129.84
"Oct 19, 2016",28112.36,28131.07,27926.17,1574000,27984.37
"Oct 18, 2016",27656.89,28064.39,27652.76,1616000,28050.88
"Oct 17, 2016",27776.14,27803.21,27488.3,1758000,27529.97
"Oct 14, 2016",27712.22,27763.54,27548.18,1442000,27673.6
"Oct 13, 2016",28042.62,28042.62,27563.84,1230000,27643.11
"Oct 10, 2016",28144.28,28216.64,28068.32,713000,28082.34
"Oct 07, 2016",28129.22,28155.68,27964.91,1308000,28061.14
"Oct 06, 2016",28298.35,28328.56,28031.22,943000,28106.21
"Oct 05, 2016",28425.74,28477.65,28188.9,1164000,28220.98
"Oct 04, 2016",28377.64,28404.7,28242.25,1892000,28334.55
"Oct 03, 2016",27997.29,28273.02,27919.89,1125000,28243.29
"Sep 30, 2016",27807.82,27955.21,27716.78,1076000,27865.96
"Sep 29, 2016",28423.14,28475.57,27719.92,1402000,27827.53
"Sep 28, 2016",28198.88,28378.56,28198.3,1109000,28292.81
"Sep 27, 2016",28373.02,28432.74,28179.34,909000,28223.7
"Sep 26, 2016",28630.92,28630.92,28272.03,1707000,28294.28
"Sep 23, 2016",28810.32,28825.09,28627.38,1374000,28668.22
"Sep 22, 2016",28766.94,28871.92,28693.07,1097000,28773.13
"Sep 21, 2016",28554.38,28689.36,28462.33,1275000,28507.42
"Sep 20, 2016",28690.66,28698.81,28480.53,817000,28523.2
"Sep 19, 2016",28626.6,28714.77,28552.55,1297000,28634.5
"Sep 16, 2016",28520.3,28778.64,28494.59,1383000,28599.03
"Sep 15, 2016",28398.33,28454.02,28311.11,992000,28412.89
"Sep 14, 2016",28345.49,28416.41,28259.38,1193000,28372.23
"Sep 12, 2016",28481.09,28481.11,28251.31,1411000,28353.54
"Sep 09, 2016",29062.9,29062.9,28755.08,1211000,28797.25
"Sep 08, 2016",28929.46,29077.28,28854.56,1547000,29045.28
"Sep 07, 2016",29035.67,29067.84,28911.31,2040000,28926.36
"Sep 06, 2016",28631.27,29013.4,28631.27,1879000,28978.02
"Sep 02, 2016",28498.72,28581.58,28427.63,1238000,28532.11
"Sep 01, 2016",28459.09,28548.85,28386.61,1732000,28423.48
"Aug 31, 2016",28372.25,28532.25,28363.1,1074000,28452.17
"Aug 30, 2016",28012.46,28478.02,28010.66,1088000,28343.01
"Aug 29, 2016",27827.26,27952.85,27698.71,1224000,27902.66
"Aug 26, 2016",27882.75,27935.88,27696.99,944000,27782.25
"Aug 25, 2016",28103.6,28154.21,27803.24,690000,27835.91
"Aug 24, 2016",28065.25,28108.39,27959.87,834000,28059.94
"Aug 23, 2016",28012.56,28028.98,27854.43,1279000,27990.21
"Aug 22, 2016",28088.07,28143.28,27918.05,1300000,27985.54
"Aug 19, 2016",28167.66,28212.3,28026.12,1611000,28077
"Aug 18, 2016",28077.64,28214.17,28077,1288000,28123.44
"Aug 17, 2016",28061.79,28174.3,27960.14,1202000,28005.37
"Aug 16, 2016",28190.04,28199.1,27942.65,1504000,28064.61
"Aug 12, 2016",27919.95,28203.27,27900.91,2164000,28152.4
"Aug 11, 2016",27805.94,27902.39,27697.33,1024000,27859.6
"Aug 10, 2016",28133.36,28143.28,27736.62,1589000,27774.88
"Aug 09, 2016",28289.22,28289.96,27956.77,1462000,28085.16
"Aug 08, 2016",28181.92,28226.38,28128.06,2093000,28182.57
"Aug 05, 2016",27810.55,28110.37,27795.74,1410000,28078.35
"Aug 04, 2016",27899.88,27921.91,27627.97,1503000,27714.37
"Aug 03, 2016",28008.52,28015.43,27647.14,1224000,27697.51
"Aug 02, 2016",28069.12,28175.22,27943.91,1042000,27981.71
"Aug 01, 2016",28083.08,28284.85,27873.53,1411000,28003.12
"Jul 29, 2016",28232.87,28233.47,28037.87,1186000,28051.86
"Jul 28, 2016",28108.78,28240.2,28064.9,1510000,28208.62
"Jul 27, 2016",27976.14,28210.88,27899.93,1072000,28024.33
"Jul 26, 2016",28121.37,28149.53,27927.13,1141000,27976.52
"Jul 25, 2016",27753.96,28110.37,27736.51,1584000,28095.34
"Jul 22, 2016",27721.72,27832.45,27646.21,978000,27803.24
"Jul 21, 2016",27980.07,27988.76,27687.54,1257000,27710.52
"Jul 20, 2016",27775.7,27935.18,27759.71,1290000,27915.89
"Jul 19, 2016",27790.05,27826.69,27637.98,1726000,27787.62
